Case ID, Event ID, Activity, Timestamp, Resource, Cost
1, 0, Customer has a problem, 05/12/2021 18:58:16, 0x00a3429c2baba2fa01ba2aea76a0e61363762878, 20000000000
1, 1, Get problem description, 05/12/2021 18:58:16, 0x00a3429c2baba2fa01ba2aea76a0e61363762878, 20000000000
1, 2, Ask 1st level support, 05/12/2021 18:58:20, 0xb0adfcfba90844811666a198772ab55d2e1558e4, 20000000000
1, 3, Ask 2d level support, 05/12/2021 18:58:22, 0x3772ddf7e748318bf72c2dfe79d9e63a7b5b1c68, 20000000000
1, 4, Provide feedback for 1st level support, 05/12/2021 18:58:26, 0x824e1244e6bd584845f7f755a41685c8e90ebf97, 20000000000
1, 5, Provide feedback for account manager, 05/12/2021 18:58:29, 0x3772ddf7e748318bf72c2dfe79d9e63a7b5b1c68, 20000000000
1, 6, Explain solution, 05/12/2021 18:58:31, 0xb0adfcfba90844811666a198772ab55d2e1558e4, 20000000000
2, 7, Customer has a problem, 05/12/2021 18:58:32, 0x00a3429c2baba2fa01ba2aea76a0e61363762878, 20000000000
2, 8, Get problem description, 05/12/2021 18:58:33, 0x00a3429c2baba2fa01ba2aea76a0e61363762878, 20000000000
2, 9, Ask 1st level support, 05/12/2021 18:58:37, 0xb0adfcfba90844811666a198772ab55d2e1558e4, 20000000000
2, 10, Ask 2d level support, 05/12/2021 18:58:40, 0x3772ddf7e748318bf72c2dfe79d9e63a7b5b1c68, 20000000000
2, 11, Provide feedback for 1st level support, 05/12/2021 18:58:44, 0x824e1244e6bd584845f7f755a41685c8e90ebf97, 20000000000
2, 12, Provide feedback for account manager, 05/12/2021 18:58:46, 0x3772ddf7e748318bf72c2dfe79d9e63a7b5b1c68, 20000000000
2, 13, Explain solution, 05/12/2021 18:58:48, 0xb0adfcfba90844811666a198772ab55d2e1558e4, 20000000000
3, 14, Customer has a problem, 05/12/2021 18:58:50, 0x00a3429c2baba2fa01ba2aea76a0e61363762878, 20000000000
3, 15, Get problem description, 05/12/2021 18:58:50, 0x00a3429c2baba2fa01ba2aea76a0e61363762878, 20000000000
3, 16, Explain solution, 05/12/2021 18:58:53, 0xb0adfcfba90844811666a198772ab55d2e1558e4, 20000000000
4, 17, Customer has a problem, 05/12/2021 18:58:55, 0x00a3429c2baba2fa01ba2aea76a0e61363762878, 20000000000
4, 18, Get problem description, 05/12/2021 18:58:55, 0x00a3429c2baba2fa01ba2aea76a0e61363762878, 20000000000
4, 19, Explain solution, 05/12/2021 18:58:58, 0xb0adfcfba90844811666a198772ab55d2e1558e4, 20000000000
5, 20, Customer has a problem, 05/12/2021 18:58:59, 0x00a3429c2baba2fa01ba2aea76a0e61363762878, 20000000000
5, 21, Get problem description, 05/12/2021 18:59:00, 0x00a3429c2baba2fa01ba2aea76a0e61363762878, 20000000000
5, 22, Explain solution, 05/12/2021 18:59:03, 0xb0adfcfba90844811666a198772ab55d2e1558e4, 20000000000
6, 23, Customer has a problem, 05/12/2021 18:59:04, 0x00a3429c2baba2fa01ba2aea76a0e61363762878, 20000000000
6, 24, Get problem description, 05/12/2021 18:59:05, 0x00a3429c2baba2fa01ba2aea76a0e61363762878, 20000000000
6, 25, Explain solution, 05/12/2021 18:59:08, 0xb0adfcfba90844811666a198772ab55d2e1558e4, 20000000000
7, 26, Customer has a problem, 05/12/2021 18:59:10, 0x00a3429c2baba2fa01ba2aea76a0e61363762878, 20000000000
7, 27, Get problem description, 05/12/2021 18:59:10, 0x00a3429c2baba2fa01ba2aea76a0e61363762878, 20000000000
7, 28, Explain solution, 05/12/2021 18:59:13, 0xb0adfcfba90844811666a198772ab55d2e1558e4, 20000000000
8, 29, Customer has a problem, 05/12/2021 18:59:15, 0x00a3429c2baba2fa01ba2aea76a0e61363762878, 20000000000
