Case ID, Event ID, Activity, Timestamp, Resource, Cost
1, 0, A1: Request Examinations, 05/12/2021 23:38:39, 0x2764b56472c9d154aef7343993f741df23139b1e, 20000000000
1, 1, A2: Do MRT Scan and derive Diagnosis, 05/12/2021 23:38:41, 0xaa5b0bcf67a22a0f8f4f3023a6b4dbbe7213d76b, 20000000000
1, 2, A4: Assessment of fitness for Rehabilitation, 05/12/2021 23:38:42, 0x6c876033cc98ed50d3aabd12f8337ea4037be4e5, 20000000000
1, 3, A3: Write Invoice, 05/12/2021 23:38:42, 0x2b967456c4ddd0e8386653a23d9539845fa4cbd0, 20000000000
1, 4, A5: Write Invoice, 05/12/2021 23:38:43, 0x2b967456c4ddd0e8386653a23d9539845fa4cbd0, 20000000000
1, 5, A6: Write Application, 05/12/2021 23:38:44, 0x2764b56472c9d154aef7343993f741df23139b1e, 20000000000
1, 6, A7: Decide on Rehabilitation, 05/12/2021 23:38:45, 0xbd0accbc0edf3034d392fb5300c572748ded956b, 20000000000
1, 7, A9: Offer alternative Options, 05/12/2021 23:38:48, 0x2764b56472c9d154aef7343993f741df23139b1e, 20000000000
2, 8, A1: Request Examinations, 05/12/2021 23:38:50, 0x2764b56472c9d154aef7343993f741df23139b1e, 20000000000
2, 9, A2: Do MRT Scan and derive Diagnosis, 05/12/2021 23:38:52, 0xaa5b0bcf67a22a0f8f4f3023a6b4dbbe7213d76b, 20000000000
2, 10, A4: Assessment of fitness for Rehabilitation, 05/12/2021 23:38:52, 0x6c876033cc98ed50d3aabd12f8337ea4037be4e5, 20000000000
2, 11, A3: Write Invoice, 05/12/2021 23:38:53, 0x2b967456c4ddd0e8386653a23d9539845fa4cbd0, 20000000000
2, 12, A5: Write Invoice, 05/12/2021 23:38:53, 0x2b967456c4ddd0e8386653a23d9539845fa4cbd0, 20000000000
2, 13, A6: Write Application, 05/12/2021 23:38:54, 0x2764b56472c9d154aef7343993f741df23139b1e, 20000000000
